customerID,tenure,MonthlyCharges,TotalCharges,Churn,Partner,MultipleLines,StreamingMovies,DeviceProtection,SeniorCitizen,StreamingTV,PaperlessBilling,OnlineSecurity,InternetService,TechSupport,PaymentMethod,PhoneService,Dependents,OnlineBackup,Contract,gender
9959-WOFKT,0.986111111111111,0.8800995024875623,0.8500195744288874,0,1,2,1,1,0,1,1,1,1,0,2,1,1,1,2,1
4190-MFLUW,0.1388888888888889,0.36766169154228856,0.06083617354458365,1,0,1,0,1,0,0,1,0,0,1,3,1,1,1,0,0
4183-MYFRB,0.29166666666666663,0.7144278606965173,0.21450119749447313,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
8779-QRDMV,0.013888888888888888,0.21293532338308457,0.004565447678703022,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1
1680-VDCWW,0.16666666666666666,0.015422885572139305,0.0232878131908622,0,0,1,2,2,0,2,1,2,2,2,2,1,0,2,1,1
1066-JKSGK,0.013888888888888888,0.018905472636815884,0.002320145541635962,1,1,1,2,2,0,2,1,2,2,2,1,1,0,2,0,1
3638-WEABW,0.8055555555555555,0.4144278606965174,0.4035901805453206,0,0,2,0,0,0,0,0,0,0,1,3,1,0,0,2,0
6322-HRPFA,0.6805555555555555,0.4114427860696518,0.3420113301400148,0,0,1,0,0,0,0,1,1,0,1,3,1,1,0,0,1
6865-JZNKO,0.41666666666666663,0.3686567164179104,0.1762389462048637,0,1,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0
6467-CHFZW,0.6527777777777778,0.8069651741293532,0.5468346997052321,1,0,2,1,0,0,1,0,0,1,0,0,1,1,0,0,1
8665-UTDHZ,0.013888888888888888,0.11890547263681589,0.0034773397199705236,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
5248-YGIJN,1.0,0.7164179104477612,0.7334020357406044,0,0,2,1,1,0,1,0,1,0,1,3,1,0,0,2,1
8773-HHUOZ,0.2361111111111111,0.4621890547263682,0.1258635777450258,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0
3841-NFECX,0.986111111111111,0.7771144278606964,0.7791716562269714,0,0,2,0,1,1,0,0,1,1,1,3,1,0,0,2,0
4929-XIHVW,0.027777777777777776,0.7686567164179104,0.02091585298452469,0,0,1,1,1,1,1,0,0,1,0,3,1,0,1,0,1
6827-IEAUQ,0.375,0.47661691542288565,0.21583110722181287,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0
7310-EGVHZ,0.013888888888888888,0.019402985074626844,0.0023259027266028004,0,1,1,2,2,0,2,1,2,2,2,2,1,0,2,0,1
3413-BMNZE,0.013888888888888888,0.26865671641791045,0.005210252394988947,0,1,1,0,0,1,0,1,0,0,0,2,1,0,1,0,1
6234-RAAPL,1.0,0.8124378109452737,0.8349875644804717,0,0,2,0,0,0,1,1,1,1,1,2,1,1,0,2,0
6047-YHPVI,0.06944444444444445,0.5119402985074627,0.03648903831982314,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
6572-ADKRS,0.6388888888888888,0.5626865671641791,0.4085643883566692,0,1,1,0,1,0,0,0,0,1,0,3,1,0,1,0,0
5380-WJKOV,0.4722222222222222,0.8766169154228854,0.4086737748710391,1,1,2,1,1,0,1,0,0,1,0,0,1,0,0,0,1
8168-UQWWF,0.15277777777777776,0.7920398009950248,0.1272798452468681,1,1,2,1,1,0,1,0,0,1,0,2,1,0,1,0,0
8865-TNMNX,0.1388888888888889,0.3114427860696517,0.05477385777450258,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1
9489-DEDVP,0.9722222222222222,0.5069651741293533,0.5610204034635226,0,0,2,0,0,0,1,0,1,0,0,3,1,1,0,2,0
9867-JCZSP,0.2361111111111111,0.02487562189054726,0.048158852247605015,0,0,1,2,2,0,2,1,2,2,2,1,1,1,2,1,0
4671-VJLCL,0.875,0.6129353233830845,0.5597653371407517,0,1,2,0,1,0,1,0,1,0,1,3,1,0,0,2,0
4080-IIARD,0.18055555555555555,0.5766169154228856,0.11300778371407519,0,0,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0
3714-NTNFO,0.6805555555555555,0.6592039800995024,0.44983189019896835,0,1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0
5948-UJZLF,0.027777777777777776,0.30845771144278605,0.011168938835666914,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1
7760-OYPDY,0.027777777777777776,0.6208955223880598,0.01659796425939573,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
7639-LIAYI,0.7222222222222222,0.6119402985074627,0.48565309506263826,0,1,2,1,0,0,1,0,1,0,1,3,1,0,1,2,1
2954-PIBKO,0.9583333333333333,0.4567164179104478,0.4898328113485631,0,0,2,0,1,0,0,0,1,0,1,3,1,1,1,2,0
8012-SOUDQ,0.5972222222222222,0.7164179104477612,0.4420078758290347,0,1,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0
9420-LOJKX,0.20833333333333331,0.8044776119402984,0.16424097273397203,1,1,1,1,0,0,1,0,1,1,0,3,1,0,0,0,0
6575-SUVOI,0.3472222222222222,0.5099502487562189,0.201806604642594,0,0,2,0,0,1,1,0,1,0,1,3,1,0,1,0,0
7495-OOKFY,0.1111111111111111,0.6208955223880598,0.0729205047899779,1,0,2,0,0,1,0,0,0,1,0,3,1,0,0,0,0
4667-QONEA,0.8333333333333333,0.56318407960199,0.5131206245394253,0,0,1,1,1,1,0,0,1,0,1,3,1,1,0,1,0
1658-BYGOY,0.25,0.7681592039800995,0.2017950902726603,1,1,2,1,0,1,1,0,0,1,0,0,1,0,1,0,1
8769-KKTPH,0.875,0.8099502487562189,0.7266949152542374,0,0,2,1,0,0,1,0,1,1,0,3,1,1,1,1,0
5067-XJQFU,0.9166666666666666,0.8975124378109453,0.8147971168017688,0,0,2,1,1,1,1,0,0,1,1,0,1,1,0,1,1
3957-SQXML,0.4722222222222222,0.06666666666666665,0.10297301031687547,0,0,2,2,2,0,2,1,2,2,2,3,1,1,2,2,0
5954-BDFSG,1.0,0.8880597014925372,0.9043040714812086,0,1,2,1,1,0,1,0,0,1,1,3,1,0,1,2,0
0434-CSFON,0.6527777777777778,0.818407960199005,0.541992907148121,0,0,2,1,1,0,1,0,0,1,0,0,1,0,1,0,0
1215-FIGMP,0.8333333333333333,0.7129353233830846,0.6276137619749448,0,1,2,0,0,0,1,0,0,1,0,2,1,0,0,0,1
0526-SXDJP,1.0,0.2373134328358209,0.3410556374355196,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,2,1
0557-ASKVU,0.25,0.3597014925373134,0.11020403463522478,0,0,1,0,1,0,0,0,0,0,1,3,1,1,1,1,0
5698-BQJOH,0.125,0.7577114427860697,0.09870693625644807,1,1,2,1,0,0,1,1,0,1,0,0,1,0,1,0,0
5122-CYFXA,0.041666666666666664,0.5676616915422885,0.02810657700810612,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0
8627-ZYGSZ,0.6527777777777778,0.6034825870646766,0.42031480287398676,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,1
3410-YOQBQ,0.4305555555555555,0.6064676616915423,0.28753684598378776,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,2,0
3170-NMYVV,0.6944444444444444,0.018905472636815884,0.10718726971260134,0,0,1,2,2,0,2,1,2,2,2,2,1,1,2,2,0
7410-OIEDU,0.1388888888888889,0.6129353233830845,0.1021727616064849,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1
2273-QCKXA,0.013888888888888888,0.30646766169154227,0.005647798452468681,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1
0731-EBJQB,0.7222222222222222,0.021393034825870627,0.12558147568165073,0,0,1,2,2,0,2,0,2,2,2,0,1,1,2,1,0
1891-QRQSA,0.8888888888888888,0.9288557213930347,0.8174051215917466,0,0,2,1,1,1,1,0,1,1,1,2,1,1,1,2,1
8028-PNXHQ,0.861111111111111,0.05970149253731341,0.16403371407516582,0,0,2,2,2,0,2,0,2,2,2,2,1,1,2,2,1
5630-AHZIL,0.041666666666666664,0.46019900497512434,0.02042649226234341,0,1,1,1,0,0,0,0,1,0,1,2,1,1,1,0,0
2673-CXQEU,0.7777777777777777,0.917910447761194,0.7069247420781136,0,1,2,1,1,1,1,1,1,1,0,0,1,0,0,1,0
6416-JNVRK,0.6388888888888888,0.37213930348258706,0.3096041359616802,0,1,1,1,0,0,0,1,0,0,0,3,1,0,1,1,0
5590-ZSKRV,0.1111111111111111,0.3621890547263681,0.055528049005158446,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0
0191-ZHSKZ,0.41666666666666663,0.5621890547263682,0.2431028924097274,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1
3887-PBQAO,0.625,0.07611940298507458,0.1400838246131172,0,0,2,2,2,0,2,0,2,2,2,3,1,1,2,1,0
5919-TMRGD,0.013888888888888888,0.607960199004975,0.009136652542372881,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0
8108-UXRQN,0.15277777777777776,0.32139303482587056,0.06509649042004423,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0
9191-MYQKX,0.09722222222222221,0.5661691542288557,0.05721490420044216,1,0,1,0,1,0,0,0,0,1,0,2,1,0,1,0,0
9919-YLNNG,0.5833333333333333,0.8512437810945274,0.49828435887988215,0,1,1,1,1,0,1,0,0,1,1,2,1,0,0,0,0
0318-ZOPWS,0.6805555555555555,0.018905472636815884,0.11207511974944732,0,0,1,2,2,0,2,0,2,2,2,2,1,0,2,2,0
4445-ZJNMU,0.125,0.8064676616915423,0.10578827376565955,0,1,2,1,0,0,1,0,0,1,0,3,1,0,0,0,1
4808-YNLEU,0.4861111111111111,0.43681592039800987,0.25509510869565216,0,0,1,0,0,0,1,0,1,0,0,2,1,0,1,1,0
1862-QRWPE,0.6666666666666666,0.023880597014925342,0.12170689019896833,0,0,1,2,2,0,2,1,2,2,2,2,1,1,2,2,0
2796-NNUFI,0.6388888888888888,0.01691542288557213,0.10674972365512161,0,0,1,2,2,0,2,0,2,2,2,1,1,1,2,2,0
3016-KSVCP,0.40277777777777773,0.154228855721393,0.11620877855563745,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1
4767-HZZHQ,0.41666666666666663,0.6348258706467661,0.2959423360353722,0,0,1,0,1,0,0,1,0,1,0,2,1,1,0,0,1
2424-WVHPL,0.013888888888888888,0.5616915422885572,0.008601234340456891,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1
7233-PAHHL,0.9166666666666666,0.654228855721393,0.6579598839351511,0,0,2,1,1,0,1,0,1,0,1,1,1,1,1,2,1
6067-NGCEU,0.9027777777777777,0.9233830845771144,0.8183262711864407,0,1,2,1,1,0,1,0,1,1,0,3,1,0,0,0,0
9848-JQJTX,1.0,0.8223880597014926,0.8588626105379515,0,1,2,1,1,0,1,0,0,1,0,2,1,0,0,2,1
8637-XJIVR,0.16666666666666666,0.6039800995024875,0.1067785095799558,1,1,2,0,0,0,0,0,1,1,0,0,1,0,1,0,0
9803-FTJCG,0.986111111111111,0.4835820895522387,0.5467828850405306,0,0,2,0,0,0,0,0,1,0,1,3,1,1,0,1,1
0278-YXOOG,0.06944444444444445,0.027860696517412936,0.013109110169491527,1,1,1,2,2,0,2,1,2,2,2,1,1,0,2,0,1
3212-KXOCR,0.7222222222222222,0.027363184079601977,0.1274871039056743,0,1,1,2,2,0,2,1,2,2,2,2,1,0,2,2,1
4598-XLKNJ,0.3472222222222222,0.7985074626865671,0.289528831982314,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0
6380-ARCEH,0.013888888888888888,0.019402985074626844,0.0023259027266028004,0,1,1,2,2,0,2,1,2,2,2,1,1,0,2,0,1
3679-XASPY,0.013888888888888888,0.011940298507462671,0.002239544952100221,0,0,1,2,2,0,2,1,2,2,2,0,1,1,2,0,0
7123-WQUHX,0.5277777777777778,0.763681592039801,0.4151621223286662,0,1,2,0,1,0,1,1,0,1,1,2,1,0,1,1,1
5386-THSLQ,0.9166666666666666,0.2716417910447761,0.34856876381724394,0,0,0,0,1,1,1,1,0,0,0,2,0,0,0,1,0
3192-NQECA,0.9444444444444444,0.9129353233830845,0.8764565677966103,1,0,2,1,1,0,1,0,0,1,1,2,1,0,0,2,1
6180-YBIQI,0.06944444444444445,0.06019900497512437,0.011537398673544585,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
6728-DKUCO,1.0,0.854726368159204,0.840900193441415,0,0,2,1,0,0,1,0,1,1,0,0,1,1,0,1,0
9750-BOOHV,0.4444444444444444,0.11840796019900496,0.10681305268975683,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0
8597-CWYHH,0.5972222222222222,0.7572139303482587,0.45151298820928526,0,1,2,1,0,0,1,1,0,1,0,1,1,0,1,1,1
2848-YXSMW,1.0,0.011442786069651711,0.15696964812085484,0,0,1,2,2,0,2,1,2,2,2,3,1,1,2,2,1
0486-HECZI,0.7638888888888888,0.7810945273631841,0.6032263264554164,1,0,2,0,0,0,1,0,1,1,0,0,1,0,0,0,1
4549-ZDQYY,0.7222222222222222,0.3950248756218906,0.35029591930729553,0,1,1,0,1,0,0,1,1,0,1,3,1,0,1,1,0
5712-AHQNN,0.5972222222222222,0.7303482587064677,0.45528970154753134,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0
4846-WHAFZ,0.5138888888888888,0.5796019900497512,0.33024940125276353,1,0,2,0,0,1,0,0,0,1,0,0,1,0,1,0,0
5256-SKJGO,0.8888888888888888,0.36169154228855727,0.39419445467944,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,2,0
3071-VBYPO,0.041666666666666664,0.7124378109452736,0.02860169491525424,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
9560-BBZXK,0.5,0.127363184079602,0.1296921057479735,0,1,0,0,0,0,0,1,1,0,0,2,0,0,1,2,0
5299-RULOA,0.1388888888888889,0.8159203980099502,0.12258773949889465,1,0,2,1,0,0,1,0,1,1,0,0,1,1,1,0,0
8402-OOOHJ,0.5694444444444444,0.023880597014925342,0.09616226050110539,0,1,1,2,2,0,2,1,2,2,2,1,1,0,2,2,0
9445-ZUEQE,0.375,0.6661691542288557,0.24774318349299929,0,0,2,0,0,0,0,0,0,1,1,3,1,1,0,0,1
1091-SOZGA,0.7777777777777777,0.8114427860696517,0.6350693165070008,0,0,2,1,1,0,1,0,0,1,0,3,1,1,1,1,0
2928-HLDBA,0.08333333333333333,0.024378109452736302,0.012982452100221078,0,1,1,2,2,0,2,1,2,2,2,1,1,0,2,0,0
0404-SWRVG,0.041666666666666664,0.5587064676616916,0.026431236182756085,1,1,2,0,0,0,0,0,0,1,0,0,1,0,1,0,1
6497-TILVL,0.09722222222222221,0.32288557213930347,0.04034059506263818,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0
7219-TLZHO,0.05555555555555555,0.025870646766169153,0.007242538688282978,0,0,1,2,2,0,2,1,2,2,2,1,1,1,2,0,0
4622-YNKIJ,0.4583333333333333,0.7034825870646766,0.3486148212969787,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,2,1
4412-YLTKF,0.375,0.5950248756218905,0.24588936993367727,1,1,2,0,1,1,0,0,0,1,0,0,1,0,1,0,0
6734-PSBAW,1.0,0.0527363184079602,0.19850198047162862,0,0,2,2,2,0,2,0,2,2,2,2,1,0,2,2,1
3930-ZGWVE,0.013888888888888888,0.014925373134328346,0.0022740880619012533,0,1,1,2,2,0,2,1,2,2,2,1,1,0,2,0,1
2639-UGMAZ,0.986111111111111,0.3800995024875622,0.4588879421518055,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1
2876-GZYZC,0.18055555555555555,0.6736318407960199,0.13997443809874727,0,1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0
6207-WIOLX,0.3472222222222222,0.4014925373134328,0.1730206798084009,1,0,0,1,1,0,1,0,1,0,0,3,0,1,0,0,0
8587-XYZSF,0.9305555555555555,0.32139303482587056,0.3753799742078114,0,1,1,0,0,0,0,1,0,0,1,2,1,0,1,2,1
3091-FYHKI,0.013888888888888888,0.17114427860696518,0.004081844141488579,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2372-HWUHI,0.027777777777777776,0.25970149253731345,0.00935542557111275,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
7799-LGRDP,0.5972222222222222,0.07412935323383085,0.13681374355195286,0,1,2,2,2,0,2,0,2,2,2,3,1,0,2,2,0
7850-VWJUU,0.3194444444444444,0.5646766169154228,0.20478306927044954,0,1,1,0,0,0,0,0,1,1,0,2,1,0,1,0,0
3774-VBNXY,0.8888888888888888,0.019402985074626844,0.14712486182756082,0,0,1,2,2,0,2,1,2,2,2,1,1,1,2,2,0
6217-KDYWC,0.7916666666666666,0.013432835820895522,0.1347814572586588,0,1,1,2,2,0,2,0,2,2,2,1,1,1,2,2,1
0390-DCFDQ,0.013888888888888888,0.5194029850746269,0.00811187361827561,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0
3146-MSEGF,1.0,0.6945273631840796,0.7398731116433309,0,0,2,1,1,1,1,0,1,0,1,3,1,1,0,2,0
4080-OGPJL,0.1111111111111111,0.5263681592039802,0.06490074613117171,1,1,2,1,0,0,0,1,1,0,1,0,1,0,1,0,0
1095-WGNGG,0.8472222222222222,0.8238805970149253,0.6875518146647016,0,0,2,1,0,0,1,0,0,1,0,2,1,0,0,2,0
2636-SJDOU,0.8888888888888888,0.6572139303482587,0.6090007829771555,0,1,2,0,0,0,0,0,1,1,0,3,1,0,0,1,1
1131-QQZEB,0.986111111111111,0.056716417910447736,0.20221536477523952,0,0,2,2,2,1,2,1,2,2,2,2,1,0,2,2,1
5716-EZXZN,0.9027777777777777,0.8039800995024875,0.7388425755342668,0,0,2,0,0,0,1,0,1,1,1,3,1,1,0,2,0
6837-BJYDQ,0.041666666666666664,0.013432835820895522,0.007064065954310981,0,1,1,2,2,0,2,1,2,2,2,1,1,0,2,1,1
2135-RXIHG,0.013888888888888888,0.27263681592039796,0.005256309874723655,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
6440-DKQGE,0.41666666666666663,0.46019900497512434,0.2222215825350037,0,1,1,0,1,0,1,1,0,0,0,3,1,1,0,1,1
3466-BYAVD,0.20833333333333331,0.5099502487562189,0.12336495946941786,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1
3780-YVMFA,0.1111111111111111,0.5004975124378109,0.06498134672070746,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0
3874-EQOEP,0.09722222222222221,0.763681592039801,0.07547669491525424,1,1,2,1,0,0,1,1,0,1,0,1,1,0,1,0,1
1679-JRFBR,0.9722222222222222,0.8945273631840797,0.9131528647752396,0,0,2,1,1,0,1,0,1,1,0,3,1,1,0,1,0
9073-ZZIAY,0.861111111111111,0.6751243781094527,0.6005031779661018,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,2,1
3077-RSNTJ,0.08333333333333333,0.014427860696517386,0.013068809874723657,0,0,1,2,2,0,2,1,2,2,2,1,1,1,2,0,0
6551-GNYDG,0.19444444444444442,0.6233830845771144,0.1327376565954311,0,0,1,1,0,0,0,0,0,1,0,2,1,1,1,0,0
9167-APMXZ,0.3055555555555555,0.6557213930348259,0.2097860630066323,0,1,2,0,0,0,1,0,0,1,0,2,1,0,1,0,0
2749-CTKAJ,0.3055555555555555,0.018905472636815884,0.048348839351510686,0,0,1,2,2,0,2,1,2,2,2,1,1,1,2,1,1
6371-NZYEG,0.2222222222222222,0.4577114427860697,0.11790714812085484,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,2,1
7554-NEWDD,0.1388888888888889,0.07412935323383085,0.028970154753131912,0,1,2,2,2,0,2,1,2,2,2,2,1,0,2,2,1
8992-VONJD,0.18055555555555555,0.3756218905472637,0.08803311532792926,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
0867-MKZVY,0.2777777777777778,0.6383084577114428,0.18334906963890937,1,0,2,0,0,0,0,1,1,1,0,0,1,0,1,0,0
4482-EWFMI,0.027777777777777776,0.5119402985074627,0.015567428150331615,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
4648-YPBTM,0.736111111111111,0.5537313432835821,0.45576754789977897,0,1,2,1,1,0,0,0,0,0,1,2,1,0,0,2,1
2907-ILJBN,0.15277777777777776,0.023383084577114438,0.026932111274871044,0,0,1,2,2,0,2,1,2,2,2,1,1,1,2,1,0
6345-FZOQH,0.9583333333333333,0.01641791044776117,0.1569926768607222,0,0,1,2,2,0,2,1,2,2,2,1,1,0,2,2,1
3376-BMGFE,0.05555555555555555,0.5238805970149254,0.03143422991893884,1,1,1,0,0,0,0,0,0,1,0,2,1,0,1,0,0
5997-OPVFA,1.0,0.7044776119402985,0.7201605103168756,0,0,2,1,1,0,1,0,1,0,1,2,1,0,0,2,1
3445-HXXGF,0.8055555555555555,0.2691542288557213,0.30526897568165073,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
1159-WFSGR,0.2222222222222222,0.021393034825870627,0.037007184966838615,0,0,1,2,2,0,2,1,2,2,2,0,1,1,2,0,0
7654-YWJUF,0.5972222222222222,0.6567164179104478,0.4075223378776714,0,0,1,0,1,0,0,0,1,1,1,2,1,0,1,1,1
1875-QIVME,0.027777777777777776,0.8572139303482588,0.02795689019896832,1,0,2,1,1,0,1,0,0,1,1,0,1,0,1,0,0
6727-IOTLZ,0.19444444444444442,0.6338308457711442,0.13607106669123067,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,2,1
0691-JVSYA,0.736111111111111,0.7621890547263681,0.5757415254237289,1,0,1,1,1,0,1,0,0,1,0,2,1,0,1,1,0
5918-VUKWP,0.4444444444444444,0.02288557213930348,0.0753673084008843,0,1,1,2,2,0,2,1,2,2,2,2,1,0,2,1,0
1744-JHKYS,0.4722222222222222,0.06417910447761191,0.08983511422254976,0,0,2,2,2,0,2,1,2,2,2,0,1,0,2,0,0
2656-FMOKZ,0.20833333333333331,0.5592039800995025,0.13192013633014005,1,1,2,0,0,1,0,0,0,1,0,1,1,0,1,0,0
2070-FNEXE,0.09722222222222221,0.5791044776119403,0.05798636698599854,1,1,1,0,0,1,0,1,1,1,0,2,1,0,1,0,0
5947-SGKCL,0.20833333333333331,0.8666666666666666,0.17953781319086223,0,0,2,1,1,0,1,0,0,1,0,2,1,1,0,0,0
3712-PKXZA,0.8472222222222222,0.02288557213930348,0.14415991156963892,0,0,1,2,2,0,2,0,2,2,2,3,1,0,2,1,1
6317-YPKDH,0.013888888888888888,0.11641791044776117,0.0034485537951363305,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
6582-OIVSP,0.013888888888888888,0.2691542288557213,0.005216009579955785,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0
9367-WXLCH,0.1111111111111111,0.6592039800995024,0.07629997236551217,1,1,2,1,0,0,0,1,0,1,0,2,1,0,1,0,1
5524-KHNJP,0.4583333333333333,0.5621890547263682,0.2824820375829035,0,0,1,1,1,0,1,1,1,0,0,3,1,1,1,1,1
1918-ZBFQJ,0.18055555555555555,0.6069651741293532,0.12799949336772296,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1024-GUALD,0.013888888888888888,0.06517412935323383,0.0028555637435519533,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4827-USJHP,0.2777777777777778,0.3338308457711442,0.11788987656595433,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8167-GJLRN,0.041666666666666664,0.12089552238805967,0.009459054900515846,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
0956-SYCWG,0.18055555555555555,0.013930348258706454,0.028187177597641864,0,1,1,2,2,0,2,1,2,2,2,0,1,0,2,1,0
8017-UVSZU,0.5555555555555556,0.381592039800995,0.273938375092115,0,0,2,0,0,0,0,1,0,0,0,3,1,0,0,0,0
7100-FQPRV,0.5972222222222222,0.5338308457711444,0.3653912582903464,0,0,2,1,0,0,0,0,1,0,1,3,1,1,1,1,1
2472-OVKUP,0.08333333333333333,0.7238805970149254,0.061141304347826095,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1
2984-RGEYA,0.9583333333333333,0.014925373134328346,0.15836864406779663,0,0,1,2,2,0,2,1,2,2,2,2,1,1,2,2,0
9680-NIAUV,1.0,0.9099502487562189,0.9360376750184232,0,0,2,1,1,0,1,1,1,1,0,3,1,1,0,2,0
2146-EGVDT,0.8194444444444444,0.010447761194029848,0.13733189019896833,0,0,1,2,2,0,2,1,2,2,2,3,1,1,2,2,1
2604-IJPDU,0.2777777777777778,0.7791044776119402,0.21896301584377306,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0
9178-JHUVJ,0.3333333333333333,0.05820895522388059,0.06763540899042005,0,0,2,2,2,0,2,0,2,2,2,2,1,1,2,2,1
